title,url,time_added,tags,status
http://www.linfo.org/unix_philosophy.html,http://www.linfo.org/unix_philosophy.html,1484426802,,archive
Field Of Dreams,http://www.imdb.com/title/tt0097351/,1424351431,,archive
https://en.wikipedia.org/wiki/Community_of_practice,https://en.wikipedia.org/wiki/Community_of_practice,1450194942,,unread
Paiq,https://paiq.nl/,1390417928,,archive
"Fargo (film) - Wikipedia, the free encyclopedia",http://en.wikipedia.org/wiki/Fargo_(film),1392372573,,archive
The Science of Scientific Writing » American Scientist,"http://www.americanscientist.org/issues/id.877,y.0,no.,content.true,page.1,css.print/issue.aspx",1434454865,how-to-write,archive
http://www.beatlesinterviews.org/dbjypb.int4.html,http://www.beatlesinterviews.org/dbjypb.int4.html,1440062083,,unread
Jacob Kaplan-Moss,https://jacobian.org/writing/great-documentation/,1434454858,how-to-write,archive
.change() | jQuery API Documentation,http://api.jquery.com/change/,1497353802,,archive
https://sites.google.com/site/steveyegge2/you-should-write-blogs,https://sites.google.com/site/steveyegge2/you-should-write-blogs,1493223369,,archive
http://researchnews.osu.edu/archive/whoami.htm,http://researchnews.osu.edu/archive/whoami.htm,1420654484,,unread
URL Design · by Kyle Neath,http://warpspire.com/posts/url-design/,1413572328,,archive
Lees hier het essay dat voorafging aan ‘Identiteit’.,http://www.liberales.be/essays/verhaegheneo,1438153293,,unread
A File-Based Blog Using Markdown and ASP.NET MVC 3,http://www.arroyocode.com/a-file-based-blog-using-markdown-and-asp-net-mvc-3/,1417440322,,archive
Tumult Hype,http://tumult.com/hype/,1380791080,,archive
Groene sprookjes: 5 mythen over biologisch eten - Vrij Nederland,http://www.vn.nl/Archief/Samenleving/Artikel-Samenleving/Groene-sprookjes-5-mythen-over-biologisch-eten.htm,1393172188,,archive
http://www.nytimes.com/1985/12/08/business/the-executive-computer.html,http://www.nytimes.com/1985/12/08/business/the-executive-computer.html,1452897548,,archive
Metro van Amsterdam - OV in Nederland Wiki,http://wiki.ovinnederland.nl/wiki/Metro_van_Amsterdam#.27Spookstations.27,1396028118,,archive
http://www.theatlantic.com/magazine/archive/2010/03/how-a-new-jobless-era-will-transform-america/307919/,http://www.theatlantic.com/magazine/archive/2010/03/how-a-new-jobless-era-will-transform-america/307919/,1423658223,,unread
Wells Tower's Burning Man Experience - GQ February 2013,http://www.gq.com/news-politics/mens-lives/201302/burning-man-experiences-wells-tower-gq-february-2013?currentPage=1,1387808481,,archive
http://www.hplovecraft.com/writings/texts/fiction/sk.aspx,http://www.hplovecraft.com/writings/texts/fiction/sk.aspx,1447915302,,archive
9 Out Of 10 Americans Are Completely Wrong About This Mind-Blowing Fact,http://www.upworthy.com/9-out-of-10-americans-are-completely-wrong-about-this-mind-blowing-fact-2,1381310429,,archive
FADER Explains: Beyoncé Tickets | The FADER,http://www.thefader.com/2013/03/06/fader-explains-beyonce-tickets/,1387836654,,archive
Eliminating my trivial inconveniences building Discourse,http://samsaffron.com/archive/2013/05/03/eliminating-my-trivial-inconveniences,1381395361,,archive
http://www.theguardian.com/music/2012/oct/06/bb-king-music-blues-guitar,http://www.theguardian.com/music/2012/oct/06/bb-king-music-blues-guitar,1431681384,,unread
http://www.imore.com/history-iphone-3gs,http://www.imore.com/history-iphone-3gs,1441210695,,archive
"Teach, Don't Tell / Steve Losh",http://stevelosh.com/blog/2013/09/teach-dont-tell/,1445458222,how-to-write,unread
